name,address,addr:city,addr:postcode,cuisine,lat,lon,county
Em's Seafood Kitchen,Magnolia Parkway,,,seafood,29.5406157,-95.3986906,Brazoria
Marq'E Donuts & Coffee,Magnolia Parkway,,,coffee_shop;donut;tacos,29.5406255,-95.3990643,Brazoria
Wendy's,West Broadway Street,Pearland,77584,burger,29.5550115,-95.4003504,Brazoria
Lotus Seafood,West Broadway Street,Pearland,,seafood,29.5546948,-95.4019088,Brazoria
Alpha Dessert Juice Café,West Broadway Street,Pearland,,,29.554702,-95.4017038,Brazoria
Italiano's,West Broadway Street,Pearland,,italian,29.5547182,-95.4012463,Brazoria
Starbucks,,,,coffee_shop,29.5537968,-95.3830406,Brazoria
Russo's New York Pizzeria,West Broadway Street,Pearland,,pizza,29.5535955,-95.3937202,Brazoria
Tang's Kitchen,Kingsley Drive,Pearland,,chinese,29.5562315,-95.4167983,Brazoria
Pepperoni's,Kingsley Drive,Pearland,,pizza,29.5566048,-95.4168305,Brazoria
Smokin D's Bbq Fusion Bar & Grill,TX-35 N,Alvin,77511,,29.401201,-95.241794,Brazoria
Tacotas Street Tacos,,,,mexican,29.5413378,-95.4162541,Brazoria
Chuck E. Cheese,Silverlake Village Drive,Pearland,,pizza,29.5518183,-95.3858089,Brazoria
Brew n Bake,Oyster Creek Drive,,,,29.0455072,-95.4526067,Brazoria
Little Caesars,,,,pizza,29.5808348,-95.3908357,Brazoria
Wingstop,Shadow Creek Parkway,Pearland,77584,wings,29.58084,-95.3907706,Brazoria
La Casona,,,,mexican,29.1958635,-95.4347855,Brazoria
Arby's,North Velasco Boulevard,Angleton,77515,sandwich,29.1948595,-95.4343765,Brazoria
The Monk's Indian Bistro,,,,indian,29.5508014,-95.3863676,Brazoria
El Potrillo,,,,mexican,29.0147,-95.4199983,Brazoria
Burger King,FM 1462,,,burger,29.3515071,-95.4280408,Brazoria
Jamba,Business Center Drive,Pearland,77584,juice,29.5567974,-95.3927816,Brazoria
3rd Coast Pizza Co.,,,,pizza,29.076616,-95.4097089,Brazoria
Julia Donuts & Coffee,,,,donut,29.0764681,-95.4096677,Brazoria
Target Snack Bar,,,,,29.0504181,-95.4654689,Brazoria
Backyard Patio,,,,,29.0433574,-95.4492763,Brazoria
Tommaso's Italian Grill & Cajun Seafood,North Gordon Street,Alvin,77511,italian,29.4280154,-95.2447413,Brazoria
Wild West BBQ,East Mulberry Street,Angleton,77515,barbecue,29.1705458,-95.4182272,Brazoria
Honore's Cajun Cafe,North Downing Street,Angleton,77515,cajun;seafood,29.1694771,-95.4194179,Brazoria
Domino's,This Way Street,Lake Jackson,77566,pizza,29.0416933,-95.4487069,Brazoria
Chicken Salad Chick,,,,chicken,29.0421996,-95.4439074,Brazoria
Marco's Pizza,,,,pizza,29.0420861,-95.4435681,Brazoria
Dee Best Donuts,,,,donut,29.1733453,-95.4163403,Brazoria
Marco's Pizza,,,,pizza,29.1736018,-95.4163231,Brazoria
Burger King,East State Highway 6,Alvin,77511,burger,29.4244602,-95.2283092,Brazoria
Umi Sushi,,,,sushi;japanese;ramen,29.1840366,-95.4325971,Brazoria
Wingstop,North Velasco Street,Angleton,77515,wings,29.1828119,-95.4312023,Brazoria
Texas Roadhouse,,,,steak_house,29.0494464,-95.4589269,Brazoria
Chuck E. Cheese,,,,pizza,29.0493735,-95.4583618,Brazoria
Luigi's Italian Kitchen,,,,italian,29.1782178,-95.4336964,Brazoria
Kick'n Chick'n,,,,chicken,29.1685056,-95.41991,Brazoria
The Dirty South,,,,,29.165159,-95.4317082,Brazoria
Early Bird Taqueria,West Mulberry Street,Angleton,77515,mexican,29.164142,-95.4369571,Brazoria
